praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
"176,00","294,00","337,00","644,00","9,73","18,40","101,00","5,99","93,10","505,00","142,00"
"126,00","204,00","164,00","308,00","2,53","99,10","835,00","16,80","1.358,00","6.436,00","2.110,00"
"433,00","710,00","233,00","422,00","8,66","23,90","150,00","3,11","91,40","487,00","202,00"
"161,00","248,00","362,00","661,00","6,38","69,80","505,00","8,98","1.358,00","6.916,00","4.740,00"
"151,00","257,00","93,10","172,00","14,30","47,00","392,00","26,40","69,80","422,00","418,00"
"578,00","1.037,00","246,00","777,00","33,10","49,10","319,00","10,60","32,80","165,00","131,00"
"305,00","483,00","1.446,00","2.148,00","89,80","37,90","235,00","9,56","248,00","1.433,00","750,00"
"231,00","410,00","239,00","414,00","9,91","31,30","250,00","2,81","82,00","514,00","141,00"
"1.747,00","2.267,00","99,10","184,00","5,33","48,30","372,00","6,61","392,00","2.167,00","890,00"
"191,00","276,00","262,00","491,00","3,02","32,50","175,00","7,30","35,50","205,00","723,00"
"483,00","717,00","1.018,00","1.811,00","70,40","82,80","542,00","5,38","37,20","215,00","723,00"
"250,00","426,00","175,00","362,00","1,63","42,20","274,00","12,90","35,20","191,00","135,00"
"294,00","461,00","102,00","200,00","3,19","23,30","117,00","4,57","137,00","723,00","385,00"
"17,20","44,10","241,00","403,00","6,85","13,60","153,00","6,79","59,90","362,00","146,00"
"365,00","583,00","505,00","914,00","49,10","18,90","104,00","11,10","146,00","799,00","227,00"
"1.018,00","1.625,00","110,00","209,00","3,96","53,80","403,00","2,86","54,20","308,00","284,00"
"626,00","851,00","281,00","453,00","12,40","81,30","562,00","15,00","279,00","1.747,00","704,00"
"175,00","264,00","61,50","124,00","3,75","62,10","426,00","7,23","191,00","1.084,00","346,00"
"898,00","1.499,00","599,00","1.084,00","54,70","73,00","418,00","7,57","78,40","474,00","221,00"
"410,00","764,00","168,00","362,00","9,14","23,90","137,00","11,00","193,00","1.018,00","906,00"
"170,00","311,00","108,00","207,00","2,48","193,00","1.433,00","40,70","167,00","914,00","375,00"
"161,00","286,00","429,00","866,00","4,41","34,90","276,00","1,24","62,60","246,00","108,00"
"375,00","667,00","685,00","1.334,00","8,51","54,70","340,00","12,20","225,00","1.346,00","403,00"
"13,10","10,40","359,00","547,00","8,35","55,70","313,00","10,10","89,80","557,00","154,00"
"217,00","368,00","313,00","528,00","6,04","48,70","331,00","3,11","337,00","1.811,00","262,00"
"119,00","165,00","365,00","604,00","10,60","64,90","505,00","15,00","48,70","316,00","209,00"
"161,00","239,00","679,00","1.124,00","25,00","33,40","257,00","30,80","22,50","158,00","43,70"
"39,20","57,80","414,00","799,00","2,97","64,40","352,00","13,80","133,00","698,00","117,00"
"890,00","1.407,00","158,00","246,00","10,20","43,30","262,00","9,65","37,90","246,00","109,00"
"82,00","141,00","325,00","583,00","6,38","44,90","257,00","8,90","874,00","4.332,00","806,00"
"67,30","100,00","279,00","422,00","8,28","59,90","392,00","4,61","82,80","426,00","281,00"
"368,00","583,00","368,00","679,00","5,23","69,20","505,00","7,70","17,80","99,10","47,40"
"186,00","313,00","379,00","644,00","31,90","55,20","382,00","10,50","108,00","723,00","248,00"
"1.241,00","1.794,00","1.018,00","1.640,00","44,50","56,20","368,00","14,50","60,40","343,00","172,00"
"259,00","410,00","138,00","202,00","1,39","65,50","461,00","9,82","30,20","157,00","204,00"
"429,00","673,00","105,00","200,00","3,96","72,30","470,00","19,80","828,00","4.105,00","1.499,00"
"223,00","325,00","813,00","1.407,00","16,80","42,60","248,00","12,20","66,70","316,00","106,00"
"90,60","135,00","487,00","1.027,00","61,00","108,00","730,00","7,10","16,70","89,80","31,60"
"188,00","362,00","355,00","649,00","14,90","69,80","478,00","7,04","53,80","319,00","104,00"
"297,00","514,00","322,00","632,00","1,17","21,70","107,00","9,22","30,50","198,00","114,00"
