praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
"14,60","18,60","18,30","16,30","3,16","4,57","16,70","474,00","6,85","26,20","28,60"
"17,20","39,60","15,10","13,50","6,49","5,05","18,60","567,00","15,50","75,00","9,91"
"15,80","15,10","3,75","191,00","3,72","7,64","19,60","770,00","12,20","21,10","12,00"
"9,39","14,70","8,28","75,00","16,10","16,40","21,50","253,00","12,90","37,50","2,00"
"9,82","6,04","2,21","179,00","20,70","26,90","27,40","385,00","10,10","22,50","5,57"
"9,65","10,60","38,50","55,20","22,10","5,67","13,00","253,00","11,70","8,66","16,40"
"33,70","19,60","8,90","28,40","20,90","6,85","18,80","1.134,00","17,80","24,60","5,28"
"18,80","19,60","68,50","205,00","17,30","19,30","31,30","305,00","7,17","17,80","5,83"
"39,20","17,20","81,30","205,00","29,20","19,80","27,40","346,00","9,73","19,80","19,10"
"16,10","15,40","11,70","16,40","9,65","7,30","11,90","519,00","35,50","64,40","21,90"
"46,60","12,20","11,40","30,20","63,80","4,83","11,20","594,00","6,92","16,30","6,73"
"50,90","24,10","3,05","491,00","79,90","35,20","44,10","547,00","13,50","26,40","11,90"
"28,60","20,20","9,31","12,10","3,13","14,10","17,20","583,00","4,29","19,60","73,70"
"13,10","40,00","17,80","11,90","4,61","6,32","45,30","1.065,00","24,10","44,10","10,00"
"48,70","22,50","26,90","514,00","154,00","13,10","21,50","835,00","27,90","78,40","32,50"
"37,20","19,50","16,80","16,80","1,68","17,50","31,10","538,00","20,70","46,60","14,30"
"11,30","6,21","17,00","13,30","1,23","9,31","14,30","457,00","15,50","29,20","14,20"
"47,80","18,10","5,83","47,80","6,55","14,70","19,80","85,80","18,60","47,80","26,40"
"17,50","29,40","10,40","14,60","4,03","29,20","35,50","331,00","12,10","25,50","21,50"
"38,20","20,50","6,61","17,90","23,90","11,30","27,60","947,00","24,10","47,40","17,80"
"2,55","12,40","1,83","200,00","16,70","3,05","15,80","655,00","20,20","36,80","10,70"
"52,80","21,30","1,00","21,10","1,21","7,23","19,30","547,00","14,60","31,90","1,00"
"41,80","45,30","4,26","157,00","23,90","23,90","43,30","355,00","14,60","26,20","13,80"
"67,30","24,80","6,98","16,50","29,70","13,80","45,30","2.595,00","5,83","18,60","26,90"
"13,70","10,10","2,67","34,00","3,11","11,20","28,60","1.981,00","19,30","37,50","26,40"
"15,00","39,60","14,90","414,00","77,00","6,61","6,73","400,00","23,30","40,70","77,70"
"21,90","18,30","1,00","89,00","5,88","3,89","12,40","491,00","9,06","27,40","16,70"
"67,90","40,00","5,38","13,80","63,20","2,07","15,10","723,00","17,60","40,70","17,60"
"10,20","13,50","15,00","34,00","26,40","1,73","6,26","106,00","10,50","18,90","25,50"
"15,80","22,10","5,09","20,20","44,50","7,77","26,40","599,00","12,50","30,50","23,90"
"85,10","106,00","11,90","67,90","11,30","21,10","32,50","389,00","10,00","27,90","13,70"
"57,80","16,50","1,93","157,00","13,90","18,60","24,40","491,00","13,10","18,90","19,50"
"9,56","24,40","4,91","184,00","17,60","11,20","18,90","874,00","3,37","12,90","112,00"
"27,90","27,40","9,14","68,50","13,70","13,00","26,90","528,00","12,40","19,60","10,10"
"17,80","17,20","25,00","31,10","2,29","19,30","25,90","311,00","17,30","29,70","18,90"
"34,90","15,00","7,10","5,23","21,50","21,30","35,20","583,00","15,10","34,00","25,50"
"75,70","17,60","11,10","30,00","5,23","28,60","46,60","225,00","15,40","40,00","18,40"
"38,50","16,00","9,47","136,00","29,20","8,98","10,40","170,00","17,90","33,70","17,00"
"34,30","36,50","43,70","63,80","19,60","5,38","16,70","331,00","20,50","40,70","9,65"
"20,40","15,70","16,00","24,40","5,14","4,78","5,23","164,00","13,10","23,50","11,30"
"22,50","19,50","6,32","188,00","14,10","9,82","13,00","673,00","6,32","23,70","105,00"
"73,00","24,10","14,30","82,80","3,13","18,90","31,30","385,00","20,00","36,80","13,50"
"34,00","10,80","79,10","165,00","16,50","5,83","17,30","267,00","20,50","60,40","93,10"
"50,00","25,50","47,40","257,00","20,70","1,00","4,07","188,00","3,82","18,40","89,00"
"48,70","25,50","16,10","122,00","67,30","28,60","41,40","538,00","18,30","45,70","15,50"
"61,00","25,50","4,87","207,00","46,60","24,10","27,90","382,00","1,00","15,10","96,50"
"64,40","33,40","13,50","28,60","1,00","18,90","33,70","403,00","3,85","8,74","73,00"
"65,50","29,70","7,37","127,00","20,70","13,00","32,20","626,00","24,40","48,30","24,40"
"43,70","13,30","18,30","23,10","6,79","8,35","5,78","200,00","5,57","12,50","15,10"
"33,40","23,30","5,38","198,00","66,70","10,60","24,60","685,00","18,10","33,40","8,20"
"13,50","10,70","9,39","3,59","29,70","4,91","34,30","227,00","13,70","33,10","12,20"
"11,70","4,37","12,70","46,10","22,50","4,96","18,30","914,00","17,00","47,00","17,20"
"12,50","19,30","14,30","55,70","32,80","3,05","10,40","274,00","3,40","26,70","114,00"
"84,30","35,20","11,20","18,30","63,20","4,33","9,56","325,00","2,41","372,00","26,90"
"38,20","15,80","5,67","136,00","18,10","33,10","69,20","379,00","22,90","71,00","43,30"
"28,10","9,22","5,94","132,00","18,10","25,50","46,60","557,00","17,60","30,00","13,20"
"11,70","8,74","26,90","42,20","15,00","17,30","23,90","474,00","4,57","13,20","21,70"
"1,00","3,46","5,83","3,34","3,13","11,70","24,80","352,00","22,30","48,30","18,90"
"136,00","48,70","3,43","19,10","25,00","4,49","18,60","274,00","23,90","44,10","5,42"
"19,50","13,80","8,74","14,90","24,40","12,50","24,40","632,00","35,50","64,90","18,40"
