praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
"39,20","8,90","4,26","9,22","1,88","25,90","46,60","223,00","3,02","31,60","65,50"
"42,60","20,20","12,10","1,45","40,00","30,20","51,90","264,00","5,94","14,10","16,10"
"5,88","17,90","3,43","2,19","18,10","105,00","300,00","1.928,00","6,98","20,50","12,90"
"34,30","18,80","3,65","1,70","16,50","352,00","519,00","1.263,00","18,30","59,40","35,90"
"24,60","16,00","6,92","9,39","8,06","15,70","53,80","346,00","9,31","18,10","12,50"
"36,20","15,70","1,00","65,50","31,30","30,50","66,10","874,00","11,40","26,20","8,66"
"2,81","10,30","4,37","1,00","6,26","30,50","105,00","483,00","17,20","32,80","6,44"
"45,30","13,90","6,79","12,20","13,60","26,90","39,60","578,00","15,70","41,00","37,20"
"15,30","25,70","3,37","3,52","11,90","9,65","17,50","382,00","9,22","25,90","14,20"
"40,30","17,90","2,81","2,17","1,00","49,10","77,00","1.568,00","17,50","32,20","5,23"
"64,90","54,20","1,00","21,50","7,70","1,00","1,55","50,90","12,70","37,90","2,67"
"30,00","22,10","4,87","1,12","9,22","3,92","46,60","173,00","17,20","25,00","10,60"
"30,50","22,50","13,20","1,01","21,90","22,30","36,80","223,00","12,00","26,20","25,00"
"25,00","34,00","2,29","1,01","15,10","7,30","16,10","276,00","13,60","38,50","60,40"
"28,40","19,80","10,20","4,57","30,80","6,38","18,10","973,00","21,90","47,80","18,90"
"65,50","56,70","1,00","2,41","2,05","126,00","204,00","2.207,00","12,10","20,40","23,90"
"35,20","18,60","3,22","2,81","26,40","25,50","172,00","200,00","27,10","40,30","15,10"
"34,30","20,50","8,51","1,00","30,20","40,30","130,00","890,00","22,10","76,40","51,40"
"61,00","38,90","3,46","5,19","26,20","12,00","24,60","487,00","14,70","21,30","13,80"
"48,70","20,40","1,19","2,50","11,80","12,60","24,40","316,00","24,40","37,50","21,10"
"35,50","13,80","8,28","7,99","17,20","45,30","77,00","1.526,00","42,20","110,00","34,90"
"31,90","44,10","5,42","1,31","6,32","13,80","13,30","349,00","12,70","23,30","9,39"
"42,60","25,50","7,30","1,00","21,50","33,70","49,60","396,00","59,40","85,10","19,60"
"78,40","21,90","9,31","4,66","44,90","10,70","26,40","866,00","17,20","21,90","7,84"
"44,10","24,10","5,38","132,00","16,50","18,10","37,50","1.219,00","3,05","17,60","63,80"
"47,40","19,30","1,00","1,68","10,20","10,20","38,20","661,00","21,10","45,70","21,70"
"105,00","41,40","2,69","3,82","9,56","28,60","59,90","362,00","17,00","25,50","12,00"
"56,20","38,90","12,00","9,39","11,70","66,10","125,00","638,00","13,20","50,00","6,67"
"72,30","24,40","5,28","179,00","35,20","22,10","42,60","196,00","26,90","38,90","20,70"
"45,70","13,10","1,91","6,79","6,32","29,70","49,10","382,00","16,70","39,20","22,90"
"56,70","25,50","1,84","1,00","25,70","6,98","31,90","851,00","8,51","20,50","160,00"
"79,10","48,70","3,75","4,14","24,10","27,10","44,10","221,00","31,90","38,50","21,10"
"15,40","23,90","1,86","6,26","32,80","41,40","68,50","331,00","5,99","5,05","44,50"
"21,70","10,60","7,57","2,46","16,10","29,40","64,40","1.155,00","30,20","77,00","28,10"
"36,80","22,50","9,65","1,43","3,13","15,10","58,30","75,70","13,20","26,20","12,40"
"52,80","17,50","5,94","179,00","14,60","11,50","22,10","457,00","13,90","39,20","18,40"
"30,80","11,10","2,86","1,06","18,60","24,60","44,10","500,00","19,10","37,90","21,30"
"21,10","20,70","22,90","4,66","13,10","10,30","22,10","334,00","20,90","32,20","15,70"
"26,40","24,10","9,39","3,31","24,80","14,50","41,80","906,00","13,10","30,80","10,30"
"36,80","25,90","10,20","1,96","35,90","46,60","111,00","947,00","23,10","50,00","35,50"
"20,20","15,80","9,06","4,45","9,91","19,50","110,00","1.358,00","16,50","35,90","17,80"
"48,70","42,60","3,52","6,73","7,37","11,80","23,70","175,00","49,60","85,10","11,30"
"43,70","8,82","8,82","2,74","6,85","20,50","27,60","281,00","13,00","24,10","18,10"
"37,20","24,40","2,69","3,00","19,50","21,70","41,00","349,00","8,35","24,40","9,82"
"69,20","26,90","15,40","3,22","20,20","25,00","83,50","644,00","15,80","26,40","8,90"
"40,00","25,90","5,42","4,18","8,13","13,00","29,40","250,00","2,23","21,30","37,90"
"30,50","15,40","2,64","147,00","47,80","61,00","131,00","1.778,00","21,90","44,10","18,90"
"40,70","14,50","2,37","1,00","26,40","23,30","54,70","813,00","15,50","21,90","16,50"
"56,70","31,60","9,31","2,89","25,70","49,10","104,00","698,00","3,40","4,45","1,00"
