praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
"2.436,00","3.685,00","16,40","40,00","11,20","1,00","41,80","105,00","6,38","23,70","77,70"
"114,00","160,00","11,80","32,20","13,60","3,82","38,20","119,00","7,23","44,90","15,80"
"557,00","947,00","7,70","18,60","36,50","5,19","64,90","138,00","2,05","20,00","12,40"
"638,00","914,00","11,90","59,40","18,90","2,46","44,10","107,00","1,22","17,90","7,37"
"316,00","461,00","4,91","73,70","24,60","4,70","30,50","2.017,00","25,90","49,60","15,80"
"181,00","279,00","4,61","281,00","50,90","5,23","50,90","215,00","1,72","28,10","13,00"
"213,00","328,00","26,90","160,00","59,90","1,12","68,50","95,60","7,43","27,40","5,83"
"139,00","189,00","2,50","457,00","32,20","1,60","105,00","403,00","1,70","32,20","9,91"
"173,00","274,00","8,58","50,00","30,80","1,25","23,10","48,30","24,10","76,40","22,30"
"322,00","500,00","15,50","23,50","9,06","1,83","38,20","36,80","1,00","23,70","9,65"
"1.999,00","2.738,00","12,00","19,60","18,40","1,00","61,00","88,20","8,51","26,70","143,00"
"389,00","588,00","11,10","82,00","13,60","29,40","119,00","4.105,00","1,00","31,60","7,84"
"122,00","181,00","19,50","9,65","2,07","1,54","45,70","96,50","6,10","23,70","4,10"
"509,00","723,00","10,70","55,20","19,10","3,75","82,80","137,00","1,00","33,10","11,90"
"227,00","334,00","21,70","35,50","14,10","3,92","120,00","269,00","9,06","55,20","17,00"
"99,10","112,00","11,50","70,40","24,60","3,40","93,10","346,00","9,22","38,90","271,00"
"175,00","231,00","11,20","110,00","42,60","12,30","141,00","3.820,00","1,00","34,30","3,79"
"1.472,00","2.129,00","11,00","5,47","20,00","1,00","23,30","78,40","1,00","10,80","6,21"
"204,00","355,00","20,20","32,50","23,30","1,32","23,30","103,00","14,90","47,80","22,30"
"1.165,00","1.685,00","12,60","16,50","3,02","3,13","84,30","349,00","1,00","29,40","15,50"
"161,00","269,00","14,30","21,90","17,90","31,30","202,00","4.332,00","4,70","29,70","12,60"
"274,00","410,00","14,20","235,00","75,00","2,17","63,80","126,00","16,80","52,30","20,50"
"248,00","389,00","10,20","82,80","33,40","11,90","69,80","1.827,00","1,15","45,70","15,10"
"372,00","588,00","16,50","379,00","64,40","2,41","110,00","331,00","1,81","21,30","15,30"
"1.046,00","1.568,00","13,50","18,40","5,83","1,00","32,20","95,60","15,00","53,30","22,70"
"286,00","375,00","17,80","33,40","10,10","7,70","59,40","355,00","11,90","44,90","13,90"
"157,00","274,00","1,86","18,60","23,70","1,00","170,00","379,00","1,00","12,60","9,06"
"461,00","723,00","12,30","15,10","12,60","12,00","37,50","737,00","10,60","47,40","12,30"
"281,00","414,00","22,50","31,10","21,70","6,32","77,00","271,00","4,07","27,90","1,67"
"621,00","1.065,00","16,40","36,20","20,70","6,49","59,40","1.894,00","20,90","58,80","28,90"
"269,00","426,00","17,50","23,90","2,27","1,41","11,00","10,80","2,37","37,90","5,57"
"305,00","445,00","10,30","20,00","8,58","1,00","19,30","106,00","1,00","26,70","5,78"
"106,00","142,00","11,00","60,40","19,50","1,09","133,00","362,00","3,89","37,90","5,94"
"49,60","49,60","13,80","63,80","19,50","27,90","100,00","1.472,00","1,64","35,20","9,65"
"95,60","136,00","13,10","25,30","11,40","2,86","42,20","223,00","28,60","129,00","75,00"
"359,00","470,00","9,31","168,00","31,10","1,00","13,60","87,40","1,00","18,80","8,06"
"181,00","271,00","25,90","135,00","48,30","6,92","121,00","385,00","44,10","111,00","50,50"
"196,00","322,00","11,40","30,20","30,80","3,92","115,00","487,00","5,47","59,40","8,13"
"59,40","72,30","10,60","21,70","5,05","37,90","158,00","3.051,00","3,49","37,20","9,65"
"114,00","145,00","7,77","131,00","30,00","1,00","32,50","107,00","11,90","33,70","17,30"
"151,00","237,00","14,10","27,40","17,30","2,39","42,20","204,00","1,00","36,50","18,30"
"433,00","667,00","7,10","10,60","32,80","2,00","83,50","334,00","4,41","14,10","7,57"
"813,00","1.208,00","14,20","72,30","27,60","3,34","75,70","233,00","2,46","11,50","5,33"
