praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
"36,50","22,30","17,50","142,00","9,06","16,10","22,10","661,00","6,55","27,60","20,20"
"47,80","31,90","34,00","426,00","41,00","2,07","3,79","27,10","13,90","26,90","74,30"
"79,10","62,60","19,50","19,30","13,80","9,39","32,50","483,00","9,82","24,60","54,20"
"17,00","10,10","41,40","284,00","49,10","23,30","33,70","621,00","12,50","25,50","77,70"
"41,40","28,90","13,80","81,30","11,50","28,60","44,50","379,00","8,82","26,70","52,80"
"29,20","10,70","12,50","15,40","15,80","14,20","29,20","626,00","6,73","54,20","6,38"
"61,00","26,70","9,82","8,98","9,39","24,80","34,60","500,00","5,88","12,90","31,90"
"33,10","32,80","87,40","403,00","64,40","7,10","14,10","1.252,00","6,98","23,30","14,90"
"106,00","102,00","69,80","359,00","68,50","10,90","25,50","828,00","4,78","15,10","5,78"
"33,70","5,62","26,20","168,00","22,90","20,00","24,40","414,00","9,22","28,60","31,60"
"52,80","26,90","25,50","106,00","19,80","7,43","67,30","352,00","8,06","25,70","40,00"
"22,30","26,70","44,10","153,00","42,60","12,60","22,90","939,00","13,20","20,40","70,40"
"41,40","29,40","13,90","23,90","1,79","9,91","23,90","1.286,00","20,50","61,50","138,00"
"76,40","50,90","20,50","22,90","3,59","2,33","4,74","50,90","15,80","29,70","82,00"
"92,20","92,20","27,60","39,60","2,37","34,60","62,10","820,00","4,29","14,90","37,90"
"73,70","41,00","75,00","217,00","58,30","21,70","41,80","1.894,00","8,35","16,10","38,50"
"49,60","30,80","51,90","276,00","51,40","5,52","11,30","737,00","4,41","10,70","10,70"
"172,00","153,00","43,70","233,00","16,10","20,20","35,20","704,00","7,30","18,60","36,50"
"50,00","32,20","97,30","392,00","89,00","13,20","20,70","673,00","10,20","22,90","30,80"
"47,00","42,20","25,30","16,00","14,10","6,67","29,70","325,00","6,85","36,50","24,80"
"42,90","35,50","22,50","24,60","15,00","14,60","32,20","661,00","28,10","76,40","117,00"
"106,00","71,70","28,90","157,00","29,20","11,40","23,90","542,00","5,23","23,70","58,80"
"57,30","38,20","27,10","26,90","10,90","9,14","19,30","207,00","13,60","35,50","44,50"
"22,90","25,30","14,50","124,00","21,90","72,30","133,00","2.548,00","5,05","6,15","25,90"
"41,40","22,90","28,90","22,50","7,57","9,65","50,50","237,00","19,30","45,70","105,00"
"48,30","18,40","13,90","132,00","12,50","12,50","33,10","882,00","49,10","107,00","211,00"
"85,80","56,20","65,50","72,30","17,90","21,90","32,80","737,00","18,30","14,60","23,30"
"73,00","54,70","20,00","151,00","30,50","28,10","38,50","723,00","16,50","32,20","33,40"
"28,60","33,70","13,90","204,00","27,40","22,50","37,50","679,00","3,92","17,30","36,80"
"86,60","79,90","16,00","136,00","13,80","18,40","28,90","626,00","10,00","18,30","23,30"
"113,00","88,20","47,80","93,90","43,70","20,70","35,20","491,00","10,30","22,30","35,50"
"28,90","21,10","17,60","19,10","6,49","9,56","20,90","973,00","2,71","20,70","3,13"
"129,00","75,70","13,70","125,00","17,90","6,49","15,80","334,00","14,20","53,80","27,40"
"26,40","29,40","17,60","81,30","16,70","17,80","36,50","1.554,00","15,10","30,20","56,20"
"41,40","23,90","44,90","426,00","49,10","19,10","34,00","956,00","2,00","75,00","11,90"
"41,00","25,90","62,10","219,00","38,20","6,73","16,30","334,00","5,47","19,50","18,40"
"29,70","30,00","17,30","80,60","9,65","11,10","24,40","457,00","18,80","47,40","73,00"
"38,50","33,70","37,20","382,00","20,70","18,10","27,60","649,00","11,30","16,70","32,80"
"35,90","26,70","18,80","41,80","11,00","98,20","231,00","1.794,00","23,30","56,70","109,00"
"39,20","23,10","12,00","160,00","23,10","11,30","21,90","1.263,00","5,47","17,90","11,50"
"48,70","28,60","62,10","302,00","94,70","35,50","60,40","717,00","11,20","34,30","44,90"
"69,20","43,30","25,30","22,30","1,93","21,70","42,90","791,00","9,31","24,10","29,70"
"147,00","87,40","26,90","20,40","20,70","32,80","47,40","777,00","20,00","56,20","103,00"
"89,80","62,10","23,10","30,80","4,57","8,90","31,10","583,00","59,40","126,00","121,00"
"39,60","36,80","29,40","40,00","12,60","9,22","10,20","231,00","8,82","26,20","37,50"
"34,90","23,10","12,60","117,00","13,90","14,10","17,00","509,00","9,39","40,00","43,70"
"142,00","94,70","28,90","13,80","5,67","11,30","24,60","644,00","8,28","6,55","7,70"
"33,70","33,40","14,20","181,00","11,20","12,10","24,80","483,00","10,50","30,80","46,10"
"25,70","35,20","46,10","92,20","20,00","33,40","50,90","599,00","3,75","48,70","50,00"
"217,00","132,00","23,10","132,00","16,50","18,40","37,20","1.155,00","7,30","17,50","22,70"
"38,20","24,10","57,30","365,00","56,20","40,70","79,90","1.230,00","33,10","77,70","168,00"
