praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
"24,10","1,00","13,00","403,00","84,30","20,50","21,50","255,00","1,63","84,30","1,36"
"19,30","1,01","19,30","112,00","37,20","64,90","61,00","276,00","2,37","137,00","1,20"
"3,43","1,96","9,22","183,00","22,90","10,50","15,80","632,00","19,50","36,20","1,12"
"16,40","1,01","48,70","385,00","113,00","9,39","23,90","704,00","8,90","15,80","1,14"
"29,40","1,00","15,50","30,00","17,50","8,43","18,40","340,00","18,40","61,00","6,10"
"36,80","1,00","30,80","225,00","85,10","13,10","13,70","248,00","1,14","414,00","2,05"
"19,30","1,01","22,30","239,00","38,20","26,20","26,20","337,00","1,00","3,11","1,09"
"42,20","6,49","22,50","21,90","16,00","15,50","19,60","241,00","1,00","82,80","1,24"
"54,20","4,83","58,80","55,70","19,10","124,00","181,00","3.191,00","1,00","1,00","1,00"
"20,00","1,00","3,79","5,23","15,30","30,00","33,40","276,00","1,00","173,00","2,04"
"20,40","1,00","37,90","355,00","82,80","12,60","19,30","271,00","1,00","626,00","2,11"
"136,00","1,00","41,40","57,80","15,50","13,20","17,90","305,00","1,00","8,66","1,00"
"17,50","1,21","27,40","271,00","86,60","49,10","46,10","791,00","1,07","1,00","3,62"
"29,20","2,13","22,90","25,50","3,43","13,00","17,20","292,00","1,00","1,63","1,21"
"16,40","1,01","32,80","35,20","6,26","10,20","16,80","233,00","1,00","25,50","6,98"
"7,50","1,01","23,70","146,00","55,70","142,00","179,00","2.839,00","1,00","59,90","2,69"
"28,90","1,27","33,10","14,20","62,10","79,90","95,60","1.540,00","1,00","396,00","1,63"
"20,20","1,01","15,30","257,00","31,30","1,00","3,05","8,58","1,30","1,00","3,72"
"138,00","1,01","52,30","178,00","58,30","23,50","23,90","385,00","1,00","3,49","2,69"
"77,00","5,83","15,00","15,10","13,50","8,28","13,70","239,00","1,00","1,01","2,33"
"41,80","1,01","1,00","6,32","1,75","7,91","8,35","308,00","1,00","1,01","1,60"
"31,60","1,01","13,70","77,00","26,20","12,60","13,90","316,00","1,00","1,00","2,09"
"1,00","1,00","48,70","202,00","62,10","5,83","16,70","461,00","1,00","5,52","2,44"
"22,90","1,00","21,70","138,00","39,20","24,60","28,10","349,00","1,84","1,00","4,29"
"11,10","1,01","17,60","365,00","46,60","17,50","24,10","267,00","1,00","1,01","1,03"
"17,00","1,01","23,10","26,90","21,50","2,53","11,80","305,00","1,53","37,20","2,33"
"20,00","1,00","2,74","4,70","23,70","47,80","65,50","1.446,00","1,00","27,60","1,50"
"57,30","1,01","71,00","204,00","130,00","5,88","9,73","403,00","7,17","21,50","5,42"
"20,50","1,01","8,74","27,60","22,50","7,10","10,40","257,00","1,00","1,75","1,00"
"30,50","1,25","40,00","34,30","13,50","20,50","22,70","334,00","1,00","246,00","1,51"
"28,40","1,01","35,90","231,00","73,00","7,91","20,70","343,00","1,00","1,00","2,19"
"42,60","1,13","3,43","89,80","9,91","79,90","84,30","1.094,00","1,00","1,01","1,00"
