praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
"14,60","18,60","3,16","5,67","19,10","21,30","33,10","308,00","1,00","1,65","4,29"
"17,20","39,60","4,00","14,90","23,70","23,10","34,30","328,00","1,15","5,42","2,81"
"15,80","15,10","2,33","213,00","24,60","18,10","26,20","286,00","25,70","44,10","3,11"
"9,39","14,70","1,12","1,00","1,01","8,51","28,40","1.165,00","1,06","12,90","4,37"
"9,82","6,04","4,37","17,20","16,80","13,90","18,90","461,00","6,32","10,50","4,83"
"9,65","10,60","1,00","253,00","42,90","10,10","18,90","770,00","3,19","1,01","13,10"
"33,70","19,60","19,60","28,60","8,20","7,70","8,98","533,00","24,80","44,90","12,50"
"18,80","19,60","7,99","215,00","3,72","4,91","19,30","1.241,00","9,82","7,43","13,80"
"39,20","17,20","7,23","200,00","33,40","11,50","17,90","407,00","14,90","19,80","18,40"
"16,10","15,40","7,17","114,00","32,50","18,30","28,10","167,00","14,60","23,10","19,60"
"46,60","12,20","4,70","157,00","32,20","9,82","20,20","1.334,00","3,08","1,00","1,96"
"50,90","24,10","2,50","202,00","30,50","6,10","11,80","1.275,00","1,00","1,63","1,02"
"28,60","20,20","7,04","195,00","12,40","23,70","40,00","557,00","3,89","20,90","30,20"
"13,10","40,00","5,00","29,40","38,50","13,10","17,20","262,00","6,21","12,00","6,21"
"48,70","22,50","8,82","93,90","48,30","32,50","50,50","1.310,00","1,04","6,85","85,80"
"37,20","19,50","36,80","352,00","158,00","7,77","21,30","692,00","10,60","17,50","27,60"
"11,30","6,21","14,20","23,70","12,50","26,70","36,80","340,00","17,30","41,80","44,10"
"47,80","18,10","14,10","157,00","22,70","8,20","16,50","219,00","1,00","1,00","9,73"
"17,50","29,40","6,32","113,00","12,70","10,40","23,10","400,00","10,50","21,90","2,25"
"38,20","20,50","10,20","93,90","16,40","28,40","50,00","422,00","1,43","1,30","4,07"
"2,55","12,40","5,52","122,00","42,90","18,90","42,20","965,00","2,81","17,90","74,30"
"52,80","21,30","12,40","86,60","35,20","14,10","25,70","717,00","5,09","7,77","4,37"
