praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
"23,50","13,60","40,70","372,00","37,90","4,96","14,10","851,00","9,14","30,00","85,80"
"16,50","14,70","14,90","79,90","37,90","2,76","6,98","213,00","1,81","8,43","51,40"
"17,80","18,90","15,30","396,00","48,70","25,00","52,30","750,00","16,30","49,10","75,70"
"5,88","8,51","28,90","26,20","7,30","73,00","112,00","1.219,00","1,00","20,70","47,40"
"17,30","18,90","14,60","19,10","5,14","16,50","32,20","710,00","1,00","1,00","30,20"
"47,40","40,00","20,90","21,70","15,80","81,30","121,00","1.877,00","7,30","28,10","93,10"
"10,60","12,70","11,00","124,00","22,50","11,50","37,50","770,00","6,73","27,10","60,40"
"10,30","15,00","37,20","34,90","14,60","89,00","133,00","407,00","15,10","46,10","85,10"
"13,70","16,50","4,83","18,40","1,22","21,90","27,40","610,00","2,05","19,10","75,70"
"25,50","17,90","22,30","17,20","17,50","13,70","23,10","604,00","31,30","45,70","72,30"
"13,20","15,70","60,40","389,00","59,90","26,20","41,40","359,00","1,00","2,41","37,90"
"63,80","50,90","32,50","23,90","4,03","151,00","248,00","3.619,00","15,00","33,40","41,80"
"17,00","16,80","22,50","22,30","12,50","12,00","22,50","547,00","17,60","24,60","36,50"
"49,60","71,00","23,90","13,00","10,00","113,00","204,00","3.308,00","15,30","67,90","340,00"
"20,40","18,60","54,20","322,00","54,70","51,40","75,70","235,00","20,20","37,90","45,70"
"14,50","13,00","26,40","18,10","9,31","41,00","75,70","638,00","1,00","2,21","42,60"
"36,80","22,90","5,73","1,00","15,40","36,20","62,10","1.794,00","17,60","33,70","41,80"
"14,90","34,30","20,70","18,80","8,82","106,00","163,00","2.642,00","31,90","95,60","113,00"
"102,00","81,30","6,10","26,40","23,90","123,00","217,00","1.843,00","3,85","5,78","44,90"
"16,40","25,70","59,90","71,70","16,50","183,00","257,00","1.811,00","4,41","31,60","81,30"
"22,90","15,00","3,72","1,01","9,73","89,00","126,00","368,00","1,95","5,88","21,30"
"80,60","86,60","64,90","294,00","27,10","47,00","61,00","491,00","23,10","38,20","52,80"
"9,31","6,44","22,70","16,70","18,80","123,00","202,00","3.220,00","1,14","3,28","46,10"
"14,20","10,00","86,60","466,00","93,90","37,90","54,20","445,00","42,60","90,60","400,00"
"19,30","13,80","21,30","30,80","15,50","4,70","42,90","538,00","14,10","31,90","48,30"
"33,40","19,60","14,20","19,30","12,70","158,00","213,00","334,00","17,80","31,30","34,90"
"38,50","27,10","34,00","31,60","3,62","114,00","202,00","2.017,00","33,40","77,70","167,00"
"59,40","75,00","22,70","29,20","3,75","32,20","42,60","615,00","3,37","17,60","80,60"
"15,30","16,70","12,20","239,00","28,10","5,33","7,99","328,00","14,60","22,70","8,06"
"21,70","32,50","20,70","34,30","5,57","97,30","175,00","2.642,00","30,80","55,20","76,40"
"30,00","14,90","22,30","35,50","2,46","137,00","316,00","5.829,00","1,00","14,10","13,20"
"31,60","13,00","26,40","37,20","1,00","23,10","35,20","1.275,00","6,38","5,33","50,50"
"18,80","11,10","71,00","466,00","64,40","20,00","39,60","615,00","14,90","44,50","110,00"
"7,64","28,10","6,79","18,10","7,77","47,00","64,40","1.104,00","23,70","45,70","44,90"
"40,70","59,90","1,86","4,41","3,19","29,20","43,30","644,00","25,70","40,00","53,80"
"21,90","28,10","84,30","403,00","76,40","125,00","186,00","1.568,00","4,10","9,47","30,50"
"51,40","22,10","94,70","117,00","17,60","76,40","102,00","947,00","8,58","25,70","129,00"
"30,50","15,50","53,30","142,00","19,10","77,70","151,00","2.738,00","94,70","179,00","328,00"
"8,90","13,30","74,30","359,00","54,20","7,77","21,70","519,00","10,60","7,37","43,30"
"37,20","19,10","11,80","19,80","7,17","8,90","17,00","588,00","1,00","1,00","44,50"
"13,80","9,56","16,70","146,00","19,30","175,00","223,00","661,00","10,40","42,20","70,40"
"11,10","25,00","85,10","552,00","93,90","20,90","35,90","331,00","18,30","22,50","32,20"
"17,20","6,79","28,90","29,20","11,10","11,40","30,80","552,00","3,75","4,33","44,90"
"61,50","93,10","17,00","21,10","1,01","4,26","15,10","599,00","23,90","38,50","106,00"
"17,20","13,70","57,30","97,30","31,30","37,50","66,70","2.329,00","8,74","2,33","35,20"
"16,80","46,10","18,60","63,20","11,80","18,90","31,90","649,00","8,20","23,50","50,90"
"12,10","10,50","21,30","18,90","4,26","176,00","483,00","8.354,00","15,10","9,06","53,80"
"17,30","26,40","82,80","414,00","106,00","40,00","64,90","1.018,00","13,00","20,90","27,60"
"21,50","22,30","73,00","519,00","87,40","3,72","12,30","851,00","1,31","33,10","10,90"
"25,70","15,80","34,30","37,50","2,89","5,23","20,20","422,00","1,00","64,40","8,28"
"13,10","11,70","21,70","132,00","42,20","36,50","49,10","542,00","1,08","5,88","13,20"
"44,10","29,20","39,60","119,00","63,20","36,80","47,80","365,00","3,52","6,79","30,20"
"38,20","14,20","7,10","28,10","8,98","172,00","233,00","1.075,00","8,58","25,70","57,30"
"32,20","35,20","35,90","276,00","61,00","44,90","62,60","418,00","8,43","32,80","77,00"
"34,60","18,80","54,20","313,00","54,70","16,10","34,30","704,00","1,00","13,70","8,06"
"4,96","12,60","47,80","57,80","19,60","3,43","19,10","655,00","19,50","42,90","62,60"
"28,40","31,90","59,40","257,00","57,30","6,26","17,20","382,00","10,50","18,90","57,30"
"69,80","50,00","20,70","19,50","12,30","59,40","104,00","337,00","34,30","72,30","139,00"
"32,20","21,30","104,00","519,00","87,40","45,70","61,50","1.286,00","22,10","34,30","42,60"
"30,00","32,50","17,00","22,10","7,50","49,60","86,60","1.124,00","23,10","40,00","47,00"
"40,70","19,50","1,26","1,07","1,55","77,70","81,30","279,00","7,70","13,00","64,90"
"22,10","17,20","33,10","14,60","17,00","26,90","27,40","433,00","25,50","62,60","231,00"
"23,30","12,00","55,20","262,00","64,90","12,30","59,90","3.023,00","17,00","27,10","50,50"
"24,60","19,50","20,90","17,20","13,10","3,85","14,50","1.208,00","11,40","15,70","77,00"
"73,00","93,90","27,90","29,70","1,01","89,00","132,00","1.762,00","11,90","28,40","12,10"
"23,10","10,70","17,80","80,60","3,68","22,30","30,80","483,00","8,66","28,40","48,30"
"20,70","12,70","20,90","25,50","9,82","17,90","25,00","632,00","3,85","7,99","46,10"
"14,10","9,31","18,30","3,37","29,40","112,00","161,00","939,00","8,51","16,30","46,10"
"16,10","6,26","20,20","17,30","8,82","75,00","125,00","1.894,00","19,10","37,50","63,80"
"22,10","15,80","21,30","32,20","8,98","3,85","22,30","328,00","1,47","7,23","48,70"
"44,90","45,70","16,10","16,80","10,30","29,20","94,70","1.715,00","32,80","66,70","137,00"
"62,60","52,30","35,90","233,00","49,10","167,00","271,00","2.207,00","6,85","12,20","44,10"
"45,30","62,60","21,30","17,50","15,70","65,50","95,60","1.433,00","13,00","26,40","36,20"
"19,50","20,20","24,80","30,20","10,40","19,60","43,30","573,00","2,69","4,57","7,77"
"17,80","16,30","14,30","85,80","17,00","20,50","33,10","922,00","43,70","62,10","62,10"
"14,20","13,90","18,90","19,50","8,43","66,10","154,00","2.329,00","18,60","40,70","68,50"
"77,00","43,30","53,30","284,00","60,40","56,20","110,00","1.762,00","22,10","24,80","81,30"
"6,44","18,30","15,70","41,40","13,10","44,10","56,20","750,00","35,50","59,40","76,40"
"14,30","18,40","5,05","1,75","8,13","31,10","58,80","407,00","18,80","47,00","48,70"
"30,20","54,70","40,00","211,00","41,40","14,90","32,50","588,00","5,99","15,00","45,30"
"13,50","21,90","35,50","40,70","7,91","44,90","103,00","3.460,00","1,18","18,60","58,30"
"93,90","52,30","30,80","31,30","14,60","74,30","137,00","1.794,00","9,39","24,60","92,20"
"24,60","9,65","37,50","40,30","18,10","35,50","130,00","2.763,00","36,80","49,60","59,90"
"19,80","11,70","23,50","16,70","15,10","3,37","19,30","470,00","13,70","31,10","56,70"
"30,20","19,80","24,40","19,80","1,00","50,00","72,30","673,00","37,20","62,10","91,40"
"18,10","23,70","7,77","41,80","26,20","42,90","54,20","538,00","10,60","47,00","81,30"
"13,80","13,20","32,50","46,60","15,00","104,00","172,00","1.747,00","20,40","30,80","63,20"
"19,10","14,60","22,90","32,80","11,40","78,40","127,00","1.596,00","13,60","29,40","30,00"
"20,00","16,30","26,70","176,00","10,00","106,00","168,00","2.571,00","9,39","8,28","13,90"
"23,10","11,50","14,50","42,60","103,00","119,00","204,00","2.480,00","58,30","67,30","13,20"
"25,30","28,60","18,30","61,50","16,40","18,40","24,10","717,00","6,73","66,10","132,00"
"25,00","20,50","31,10","445,00","55,20","40,00","57,80","359,00","11,80","20,40","55,70"
"17,00","7,04","21,70","24,40","8,66","33,10","44,10","750,00","13,50","37,90","37,90"
"29,70","22,30","20,00","17,20","1,38","121,00","219,00","1.999,00","7,37","22,50","37,50"
"22,50","17,50","23,90","77,70","17,50","35,20","56,20","340,00","4,37","26,70","47,40"
"61,00","33,10","37,90","311,00","48,70","137,00","352,00","4.698,00","47,00","85,80","157,00"
"17,30","10,10","28,10","27,90","3,28","44,90","66,10","403,00","7,17","23,70","42,90"
"129,00","109,00","41,80","161,00","48,70","5,09","15,10","644,00","16,30","39,20","88,20"
"21,30","16,40","21,10","22,50","16,50","3,46","25,30","578,00","7,17","36,20","48,30"
"91,40","41,40","24,80","319,00","38,90","17,90","30,50","956,00","18,60","34,30","79,10"
"14,70","22,30","27,60","35,90","13,50","9,39","20,50","382,00","1,00","12,90","13,80"
"19,30","10,10","5,38","4,10","2,25","7,77","17,00","982,00","9,22","24,80","49,60"
"28,40","21,70","38,20","170,00","37,20","29,70","39,60","692,00","9,22","17,50","69,20"
"72,30","76,40","17,90","15,50","16,10","63,20","109,00","947,00","25,00","82,80","205,00"
"6,55","10,20","16,80","22,90","1,00","82,80","113,00","679,00","14,50","20,70","59,90"
"12,50","5,23","69,80","131,00","50,00","21,70","31,30","414,00","10,20","74,30","3,59"
"32,80","18,30","23,50","23,10","3,31","53,80","85,10","610,00","10,50","35,50","53,30"
"19,10","10,30","20,50","78,40","18,10","26,20","35,20","505,00","6,15","17,90","54,70"
"24,60","11,80","30,00","30,80","14,60","32,80","48,30","362,00","3,19","3,19","50,90"
"16,80","13,60","75,70","123,00","46,10","6,44","37,90","1.000,00","12,20","20,50","18,30"
"7,17","17,00","23,70","23,30","5,33","25,70","41,00","491,00","14,70","28,60","54,70"
"19,10","13,90","15,80","74,30","21,90","24,10","34,30","474,00","9,39","27,60","39,60"
"20,50","20,90","17,30","120,00","15,30","11,70","24,10","644,00","9,06","16,10","50,90"
"18,40","19,80","12,70","81,30","11,30","6,21","44,10","496,00","84,30","119,00","41,00"
"20,90","8,82","20,70","300,00","31,30","19,50","37,20","542,00","18,60","29,20","49,10"
"14,90","15,00","17,60","170,00","24,10","22,70","32,20","453,00","18,60","31,10","79,90"
"16,10","14,30","8,90","42,90","21,10","17,00","30,20","698,00","9,91","21,10","38,50"
"12,30","13,80","4,07","1,01","1,65","26,40","37,50","784,00","1,20","28,10","27,10"
"26,90","20,20","19,50","170,00","23,30","8,51","15,40","487,00","32,50","67,30","118,00"
"131,00","95,60","12,30","189,00","16,50","36,80","62,10","1.084,00","22,10","33,70","69,80"
"62,10","71,00","8,90","4,45","9,56","4,41","17,30","655,00","60,40","146,00","209,00"
"30,00","10,30","26,70","22,10","15,40","11,30","21,10","552,00","5,42","13,00","34,30"
"52,80","39,20","17,20","161,00","19,50","4,83","20,00","410,00","8,66","19,30","29,70"
"75,00","52,80","42,20","259,00","39,60","20,40","41,40","692,00","17,80","58,30","60,40"
"32,20","14,30","25,30","24,40","3,85","9,56","29,20","1.275,00","14,30","21,70","38,90"
"18,30","19,80","14,30","18,60","1,88","1,76","1,01","93,90","11,10","26,20","41,80"
"13,70","25,30","14,60","147,00","13,90","18,80","46,60","777,00","57,30","131,00","181,00"
"27,60","18,10","35,50","340,00","26,90","17,90","30,00","379,00","7,70","39,60","42,90"
"17,00","10,90","22,70","67,30","13,50","34,00","47,40","626,00","26,40","24,10","85,80"
"26,40","37,20","41,40","183,00","33,70","103,00","175,00","1.395,00","15,70","29,70","59,90"
"19,80","20,40","21,90","25,50","2,59","67,90","104,00","407,00","1,35","28,10","47,80"
"7,23","38,90","90,60","418,00","73,00","26,90","36,80","262,00","7,37","16,70","35,50"
"145,00","88,20","21,30","30,80","12,90","158,00","264,00","3.460,00","15,00","28,40","49,60"
"34,90","20,40","58,80","474,00","69,80","34,90","43,70","407,00","13,00","29,40","30,20"
"31,30","19,10","20,70","110,00","27,10","41,00","83,50","813,00","25,70","39,20","58,80"
"19,50","16,30","25,50","19,30","2,71","26,20","31,60","644,00","18,60","42,20","49,60"
"19,50","15,10","14,50","13,60","3,62","13,20","29,40","519,00","35,20","69,80","48,30"
"20,90","20,20","1,00","92,20","14,50","52,80","76,40","1.186,00","17,90","23,50","48,30"
"22,10","11,80","8,58","10,10","11,90","22,70","33,70","491,00","20,50","16,10","53,30"
"25,70","11,40","21,70","19,50","4,78","4,10","25,50","340,00","10,60","13,60","50,00"
"30,80","20,00","36,50","48,70","4,45","43,70","66,70","1.084,00","31,30","67,90","225,00"
"53,30","44,50","13,90","99,10","5,94","14,20","36,20","673,00","1,00","18,30","48,30"
"16,50","12,40","27,60","26,20","1,00","4,18","19,30","791,00","17,60","28,10","54,20"
"17,80","17,00","26,70","15,50","4,70","21,50","38,90","1.065,00","5,73","30,50","12,30"
"73,70","39,60","25,70","30,50","17,20","54,70","81,30","604,00","31,60","55,20","111,00"
"95,60","65,50","158,00","392,00","93,10","17,20","36,50","514,00","57,30","133,00","188,00"
"56,70","50,50","17,90","209,00","16,70","3,25","27,10","264,00","10,50","15,10","56,20"
"32,80","6,85","47,40","368,00","59,40","36,80","54,70","626,00","23,10","30,00","63,20"
"24,60","33,40","10,60","64,40","12,50","9,22","45,70","730,00","10,00","25,30","30,00"
"24,60","17,50","27,90","18,10","19,10","14,90","26,90","496,00","40,00","55,20","85,10"
"27,90","9,91","117,00","514,00","73,00","57,80","90,60","1.176,00","14,30","31,10","39,20"
"34,30","15,80","7,23","1,41","3,68","2,64","14,30","429,00","21,50","48,70","28,10"
"23,90","20,20","63,80","385,00","69,20","6,67","14,60","604,00","13,60","32,50","51,40"
"17,30","7,30","17,60","16,00","11,30","1,54","7,04","63,80","10,50","14,20","40,70"
"20,70","11,90","77,70","294,00","79,90","6,61","19,50","478,00","9,82","24,60","109,00"
"27,60","19,50","41,80","101,00","18,10","14,50","24,60","533,00","6,61","26,20","48,70"
"11,10","6,73","15,80","19,80","8,82","5,57","32,50","621,00","16,30","26,20","62,60"
"17,80","13,30","22,90","13,10","3,34","102,00","172,00","3.338,00","6,73","27,10","54,20"
"13,60","13,90","24,40","23,10","9,31","41,80","61,50","704,00","13,90","28,90","37,20"
"6,32","12,30","22,50","27,40","7,30","4,87","16,80","368,00","21,70","28,60","68,50"
"15,00","20,70","25,00","24,60","5,88","106,00","176,00","3.023,00","12,10","18,60","35,20"
"27,10","12,50","20,90","131,00","19,60","54,70","83,50","1.075,00","22,30","36,50","118,00"
"11,20","7,17","20,20","20,70","8,51","31,10","44,90","470,00","18,80","50,90","89,00"
"31,10","38,50","20,00","20,90","3,55","4,33","21,70","562,00","13,80","43,30","77,70"
"77,70","154,00","25,30","20,90","1,14","8,28","34,90","931,00","17,30","43,70","58,30"
"18,80","23,70","37,90","42,20","12,70","32,50","38,50","449,00","4,53","6,61","7,23"
"21,10","21,50","21,70","26,40","3,05","23,70","37,50","349,00","47,00","124,00","31,60"
"28,60","18,80","14,50","17,90","8,66","30,50","43,70","422,00","11,80","40,00","52,80"
"59,90","44,90","25,90","155,00","48,30","13,30","23,70","478,00","15,40","44,10","46,10"
"17,90","5,88","19,30","14,60","8,20","13,90","26,20","610,00","20,50","21,10","44,50"
"45,70","26,90","65,50","250,00","49,10","21,10","44,50","638,00","15,10","21,10","53,30"
"38,50","21,50","21,90","23,10","5,00","26,70","44,10","500,00","14,20","33,10","52,30"
"81,30","77,70","31,30","21,30","8,82","20,00","35,50","466,00","8,82","25,00","42,60"
"12,10","7,57","18,90","22,30","8,20","5,14","22,10","626,00","3,85","16,00","26,90"
"167,00","101,00","93,10","470,00","68,50","67,90","117,00","1.298,00","9,47","19,80","39,60"
"21,70","16,70","22,50","80,60","9,31","20,90","37,50","723,00","10,10","19,60","23,70"
"3,89","7,23","29,70","65,50","19,80","29,20","40,70","491,00","10,80","55,70","49,60"
"24,10","16,30","24,10","25,00","12,00","16,10","14,50","523,00","11,50","34,00","37,20"
"16,50","13,60","16,70","36,50","6,79","35,50","54,20","474,00","7,43","41,00","50,50"
"7,77","12,30","26,20","34,90","1,00","42,20","50,00","533,00","8,98","14,90","50,90"
"75,70","53,30","24,80","21,50","2,41","6,92","16,30","835,00","38,90","94,70","175,00"
"33,70","10,20","34,00","33,70","8,98","20,90","42,60","599,00","7,23","10,80","69,20"
"32,50","13,60","23,10","17,50","5,57","16,70","27,60","655,00","26,40","47,00","102,00"
"25,30","17,90","9,65","200,00","24,40","16,00","31,30","661,00","36,80","47,80","50,00"
"14,30","23,50","18,90","23,90","11,50","12,40","32,80","615,00","16,10","20,50","31,10"
"31,10","28,10","26,70","42,90","15,30","2,27","14,50","173,00","27,10","61,00","87,40"
"23,90","17,60","17,60","45,70","9,65","5,94","12,90","533,00","12,60","23,10","30,80"
"57,30","50,50","60,40","400,00","68,50","36,50","59,40","359,00","35,50","64,90","106,00"
"31,90","13,70","20,50","24,40","2,48","8,28","41,00","610,00","16,00","18,60","45,70"
"28,60","14,50","16,30","21,70","4,29","30,80","46,60","349,00","22,90","41,40","1,43"
"17,50","12,70","21,70","19,80","10,80","38,20","48,70","429,00","47,40","69,20","73,00"
"85,10","73,70","6,26","1,00","2,92","18,10","38,90","604,00","12,90","21,10","55,70"
"34,00","12,90","16,30","75,00","4,96","3,79","24,10","379,00","31,30","45,30","93,10"
"26,40","21,90","35,50","217,00","49,60","90,60","227,00","2.072,00","11,30","37,90","29,20"
"21,10","13,50","4,78","15,10","20,70","4,53","28,60","389,00","14,30","20,40","47,80"
"17,80","9,22","14,30","20,70","4,57","25,00","35,90","365,00","22,30","29,70","24,40"
"21,10","17,00","22,30","26,70","10,60","24,10","28,60","538,00","11,50","27,10","34,30"
"26,70","11,20","29,70","29,20","5,62","16,40","22,30","594,00","5,83","28,40","19,50"
"16,50","19,30","17,50","34,00","10,30","57,80","123,00","1.928,00","4,03","22,10","37,20"
"26,20","11,30","25,50","24,10","20,50","17,90","38,20","610,00","13,20","21,30","62,10"
"30,50","35,50","17,20","168,00","22,50","7,84","22,90","882,00","10,30","22,70","70,40"
"25,50","23,90","52,30","410,00","56,20","4,41","23,30","418,00","9,31","25,00","31,10"
"36,20","13,10","27,10","30,50","10,20","75,00","115,00","414,00","24,10","40,00","41,40"
"21,10","20,90","56,20","441,00","59,90","10,10","35,90","567,00","17,80","36,50","64,40"
"89,80","73,00","17,60","17,60","13,90","1,70","3,75","331,00","13,70","35,50","62,60"
"22,90","13,80","39,60","170,00","38,50","7,64","17,30","562,00","1,14","12,30","2,92"
"17,80","20,40","23,50","133,00","29,20","15,00","21,70","599,00","29,70","62,10","108,00"
"19,10","12,30","23,30","15,00","9,39","15,00","17,80","410,00","25,70","28,40","67,90"
"28,10","23,90","12,40","18,40","9,31","34,60","38,20","286,00","16,10","26,70","58,80"
"20,20","10,90","58,80","325,00","64,40","36,80","48,30","457,00","29,70","54,20","84,30"
"33,70","17,60","21,30","41,40","7,37","66,70","95,60","505,00","22,70","34,30","20,50"
"13,80","17,60","31,10","38,20","3,85","157,00","223,00","433,00","16,00","22,70","18,40"
"41,80","29,20","42,90","211,00","42,20","47,00","73,00","379,00","6,92","36,50","53,30"
"7,57","16,00","13,30","133,00","8,51","12,10","31,30","599,00","6,32","43,70","41,40"
"22,50","15,00","21,50","237,00","18,60","13,50","19,10","542,00","16,40","21,10","55,70"
"29,20","4,26","27,90","17,50","4,61","47,40","85,80","1.230,00","11,20","20,90","39,20"
"16,80","18,10","11,10","55,70","5,62","41,00","54,70","325,00","15,10","27,60","16,30"
"31,60","20,40","30,20","29,20","10,30","3,68","11,40","615,00","3,55","36,80","75,70"
"23,30","8,13","14,50","15,30","14,90","17,60","20,70","692,00","18,10","44,50","61,00"
"46,60","30,00","38,50","96,50","22,50","9,65","27,10","673,00","54,70","82,80","149,00"
"30,80","19,80","45,70","113,00","7,99","13,30","33,40","491,00","10,10","25,50","37,90"
"25,90","15,10","24,10","170,00","8,98","26,40","42,20","557,00","18,10","30,20","24,60"
"42,90","23,90","18,90","23,50","14,20","2,86","22,30","483,00","13,00","34,00","49,60"
"69,80","37,90","15,00","337,00","35,20","6,32","61,50","392,00","41,80","71,00","57,30"
"13,90","20,20","32,80","48,30","12,90","17,30","33,40","505,00","15,70","36,80","41,40"
"22,10","19,10","20,90","16,10","5,57","149,00","269,00","3.051,00","11,90","45,30","83,50"
"63,20","89,00","18,90","35,20","25,90","14,70","19,30","743,00","3,25","15,70","13,10"
"18,30","18,80","24,10","82,00","25,00","89,00","170,00","1.700,00","15,40","21,70","47,80"
"12,60","24,80","17,90","9,65","1,00","73,70","132,00","1.715,00","26,70","73,70","97,30"
"20,00","19,80","23,90","38,90","7,30","30,80","49,10","1.219,00","16,00","30,00","41,00"
"18,90","11,50","71,00","470,00","80,60","45,70","55,70","392,00","11,00","14,70","49,60"
"69,80","48,70","12,30","23,90","12,60","12,30","21,50","509,00","11,80","35,90","50,00"
"7,99","7,84","35,90","365,00","44,90","12,60","29,70","1.155,00","6,04","41,40","66,70"
"22,70","5,38","69,20","359,00","59,40","4,61","20,20","491,00","17,30","44,10","53,80"
"22,90","23,90","23,30","23,70","7,64","10,40","21,30","557,00","89,00","170,00","173,00"
"86,60","84,30","13,80","22,90","8,43","15,10","22,10","496,00","47,40","85,80","160,00"
"92,20","63,80","34,60","21,10","8,43","1,00","7,43","155,00","10,60","8,98","37,50"
"28,90","20,70","104,00","519,00","88,20","25,00","35,50","426,00","51,40","106,00","179,00"
"52,80","30,20","27,60","29,40","17,60","12,90","25,90","594,00","97,30","129,00","32,20"
"23,90","12,20","22,70","27,10","5,33","57,80","75,00","547,00","21,30","34,90","42,60"
